,date,ticker,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2024-04-01,AAPL,169.23092651367188,171.25,169.47999572753906,171.19000244140625,46240500.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,169.23092651367188,169.23092651367188,13.649999618530273,0.0
0,2024-04-01,AMGN,274.6672668457031,283.8299865722656,279.0,282.1099853515625,1868600.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,274.6672668457031,274.6672668457031,13.649999618530273,0.0
0,2024-04-01,AXP,224.369384765625,228.57000732421875,226.8300018310547,227.44000244140625,1616700.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,224.369384765625,224.369384765625,13.649999618530273,0.0
0,2024-04-01,BA,189.5,192.8699951171875,189.02999877929688,192.24000549316406,5107800.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,189.5,189.5,13.649999618530273,0.0
0,2024-04-01,CAT,358.343017578125,367.92999267578125,362.6400146484375,367.4800109863281,1953800.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,358.343017578125,358.343017578125,13.649999618530273,0.0
0,2024-04-01,CRM,300.5016174316406,303.510009765625,299.989990234375,301.69000244140625,2918100.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,300.5016174316406,300.5016174316406,13.649999618530273,0.0
0,2024-04-01,CSCO,48.18735122680664,50.20000076293945,49.869998931884766,49.959999084472656,15138100.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,48.18735122680664,48.18735122680664,13.649999618530273,0.0
0,2024-04-01,CVX,152.48257446289062,159.58999633789062,156.94000244140625,158.27000427246094,6285700.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,152.48257446289062,152.48257446289062,13.649999618530273,0.0
0,2024-04-01,DIS,120.43822479248047,122.4000015258789,120.77999877929688,122.05999755859375,8419700.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,120.43822479248047,120.43822479248047,13.649999618530273,0.0
0,2024-04-01,DOW,54.89231491088867,58.34000015258789,57.40999984741211,57.86000061035156,3827200.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,54.89231491088867,54.89231491088867,13.649999618530273,0.0
0,2024-04-01,GS,404.5848693847656,417.95001220703125,412.0,416.67999267578125,1863900.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,404.5848693847656,404.5848693847656,13.649999618530273,0.0
0,2024-04-01,HD,359.1007995605469,383.1400146484375,367.8399963378906,381.4700012207031,4333200.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,359.1007995605469,359.1007995605469,13.649999618530273,0.0
0,2024-04-01,HON,197.8148193359375,205.88999938964844,201.88999938964844,205.38999938964844,2221900.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,197.8148193359375,197.8148193359375,13.649999618530273,0.0
0,2024-04-01,IBM,183.65380859375,190.4600067138672,188.52000427246094,190.0,2364300.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,183.65380859375,183.65380859375,13.649999618530273,0.0
0,2024-04-01,INTC,44.060401916503906,45.40999984741211,44.18000030517578,44.290000915527344,31712600.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,44.060401916503906,44.060401916503906,13.649999618530273,0.0
0,2024-04-01,JNJ,152.8756103515625,158.14999389648438,156.77000427246094,157.72000122070312,4364700.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,152.8756103515625,152.8756103515625,13.649999618530273,0.0
0,2024-04-01,JPM,193.30320739746094,200.94000244140625,198.57000732421875,199.99000549316406,7309000.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,193.30320739746094,193.30320739746094,13.649999618530273,0.0
0,2024-04-01,KO,58.917850494384766,61.29999923706055,60.630001068115234,61.18000030517578,11668700.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,58.917850494384766,58.917850494384766,13.649999618530273,0.0
0,2024-04-01,MCD,273.56707763671875,281.54998779296875,278.6400146484375,281.5,2408800.0,0.0,0.0,170.31373726102484,166.96369804170953,0.0,-66.66666666666798,100.0,273.56707763671875,273.56707763671875,13.649999618530273,0.0
